CUSP_ID,LAT,LONG,NZMGE,NZMGN,ORI_YEAR,ORI_MONTH,ORI_DAY,ORI_HOUR,ORI_MINUTE,ORI_SECOND,MAG,DEPTH
3481751,-43.55432,172.68898,2484890,5739375,2011,2,22,0,0,31.27814,3.79,5.8559,
3481760,-43.56579,172.70621,2486287,5738106,2011,2,22,0,0,43.70276,3.76,5.4045,
3481778,-43.58903,172.66122,2482663,5735510,2011,2,22,0,1,54.35167,3.929,5,
3468580,-43.58052,172.67273,2483588,5736459,2011,2,22,0,2,14.70578,3.495,6.0095,
3481784,-43.58363,172.69771,2485607,5736121,2011,2,22,0,3,8.69716,3.713,6.9098,
3481853,-43.57677,172.70175,2485931,5736885,2011,2,22,0,4,2.49142,3.549,5,
3468581,-43.59048,172.66089,2482637,5735349,2011,2,22,0,4,19.37928,5.845,5.9119,
3481939,-43.59051,172.64978,2481739,5735342,2011,2,22,0,5,36.97902,4.555,5,
3481944,-43.53415,172.74701,2489573,5741632,2011,2,22,0,6,14.63554,3.909,6.2888,
3481949,-43.56126,172.77765,2492058,5738627,2011,2,22,0,6,56.34509,4.37,11.832,
3482405,-43.53402,172.76289,2490856,5741650,2011,2,22,0,7,47.98711,4.327,5,
3482411,-43.60047,172.65428,2482107,5734237,2011,2,22,0,8,15.32771,4.68,7.643,
3468590,-43.54988,172.70526,2486204,5739873,2011,2,22,0,10,46.42932,4.253,6.4298,
3483104,-43.55521,172.69724,2485558,5739279,2011,2,22,0,11,27.94374,3.684,5,
3483371,-43.58228,172.68329,2484442,5736267,2011,2,22,0,12,13.13113,3.711,5,
3483427,-43.5535,172.68933,2484918,5739467,2011,2,22,0,12,32.39268,3.768,5,
3483483,-43.59431,172.65324,2482021,5734921,2011,2,22,0,13,5.62664,3.907,5,
3468588,-43.53988,172.72205,2487557,5740989,2011,2,22,0,14,36.60415,3.816,12.4534,
3483490,-43.5556,172.68515,2484581,5739232,2011,2,22,0,14,37.3318,3.986,8.0638,
3484468,-43.58746,172.70381,2486102,5735698,2011,2,22,0,14,54.00095,3.761,7.9511,
3484472,-43.57473,172.68657,2484704,5737107,2011,2,22,0,15,49.94165,3.615,5,
3484477,-43.56423,172.68048,2484208,5738272,2011,2,22,0,16,31.08527,3.632,7.8358,
3484483,-43.5939,172.61514,2478944,5734953,2011,2,22,0,17,14.20389,3.887,5,
3484488,-43.5678,172.68427,2484515,5737876,2011,2,22,0,18,47.03766,3.608,8.6143,
3468595,-43.55119,172.77892,2492157,5739746,2011,2,22,0,21,25.81246,4.082,8.578,
3484947,-43.60569,172.66151,2482693,5733659,2011,2,22,0,22,54.642,3.681,8.5134,
3470057,-43.58854,172.7101,2486610,5735579,2011,2,22,0,23,1.72336,4.422,7.478,
3468601,-43.60613,172.78271,2492479,5733643,2011,2,22,0,31,5.27649,4.215,8.6337,
3468608,-43.64941,172.87,2499534,5728848,2011,2,22,0,46,36.91415,4.445,5,
3468619,-43.5895,172.65976,2482545,5735457,2011,2,22,1,15,54.44009,4.448,5,
3468622,-43.58303,172.72307,2487655,5736195,2011,2,22,1,20,56.5585,4.532,4.0962,
3468626,-43.60279,172.88806,2500985,5734030,2011,2,22,1,30,27.54654,3.432,5,
3468631,-43.5897,172.64194,2481106,5735429,2011,2,22,1,37,25.88714,3.305,5,
3468630,-43.55924,172.73737,2488802,5738842,2011,2,22,1,39,58.45782,4.01,7.9586,
3468635,-43.5975,172.62129,2479442,5734555,2011,2,22,1,50,29.71372,5.91,6.6328,
3470097,-38.61465,176.19162,2788002,6282923,2011,2,22,2,3,32.20154,2.442,5,
3468642,-43.59394,172.7173,2487194,5734981,2011,2,22,2,4,16.3774,3.755,6.1499,
3468645,-43.60519,172.57886,2476020,5733685,2011,2,22,2,8,30.27428,3.738,8.1458,
3468651,-43.57839,172.80206,2494034,5736729,2011,2,22,2,21,41.09477,4.283,5,
3468660,-43.6674,172.73425,2488588,5726824,2011,2,22,2,37,6.48703,3.203,19.0756,
3468664,-43.58399,172.81418,2495015,5736109,2011,2,22,2,43,2.35243,4.567,11.0868,
3468666,-43.58733,172.56029,2474510,5735661,2011,2,22,2,48,19.13983,4.517,5,
3468672,-43.56516,172.64699,2481502,5738158,2011,2,22,3,4,9.10896,5.011,12,
3468679,-43.59882,172.66898,2483294,5734425,2011,2,22,3,24,4.85684,4.362,5,
3468682,-43.53824,172.72186,2487541,5741171,2011,2,22,3,32,22.98682,4.16,9.6763,
3468688,-43.56177,172.79573,2493519,5738574,2011,2,22,3,43,53.41708,3.735,5.5145,
3468689,-43.58291,172.63782,2480770,5736182,2011,2,22,3,46,53.79982,4.195,11.365,
3468696,-43.46455,172.78085,2492288,5749373,2011,2,22,3,59,57.42679,3.478,5,
3468705,-43.60226,172.75146,2489955,5734066,2011,2,22,4,19,5.80885,4.597,13.0111,
3468709,-43.55524,172.7401,2489021,5739287,2011,2,22,4,29,43.1238,3.569,11.1069,
3468715,-43.55439,172.64952,2481702,5739355,2011,2,22,4,30,26.83231,3.522,5.7826,
3468716,-43.55133,172.71671,2487130,5739716,2011,2,22,4,46,49.94377,3.318,11.3503,
3468720,-43.58604,172.70729,2486382,5735856,2011,2,22,4,56,51.55146,4.018,12.6341,
3468722,-43.62675,172.74101,2489119,5731342,2011,2,22,5,3,10.48672,4.336,5,
3468728,-43.56001,172.74699,2489580,5738759,2011,2,22,5,14,22.14897,3.666,9.28,
3468729,-43.62611,172.72925,2488170,5731410,2011,2,22,5,17,21.38932,3.932,16.5378,
3468731,-43.58197,172.6637,2482860,5736295,2011,2,22,5,23,36.62212,3.051,3,
3468732,-43.60379,172.75519,2490257,5733897,2011,2,22,5,27,38.81068,3.09,12.3818,
3468738,-43.60348,172.62314,2479594,5733892,2011,2,22,5,39,21.66961,3.478,10.5385,
3468742,-43.59667,172.56911,2475228,5734627,2011,2,22,5,47,17.74812,3.399,5,
3468855,-43.58696,172.64224,2481129,5735734,2011,2,22,5,47,59.92682,3.416,5,
3468744,-43.57851,172.7179,2487236,5736696,2011,2,22,5,53,35.91983,3.155,4.0837,
3468746,-43.63857,172.76501,2491060,5730034,2011,2,22,5,59,34.69591,4.543,12,
3468751,-43.59373,172.62207,2479503,5734975,2011,2,22,6,11,58.70436,3.419,4.393,
3468752,-43.51781,172.7397,2488976,5743446,2011,2,22,6,15,26.47031,3.735,12.8914,
3468753,-43.58642,172.75388,2490145,5735826,2011,2,22,6,15,25.65367,3.76,11.3292,
3468754,-43.58864,172.6846,2484551,5735561,2011,2,22,6,17,46.25096,3.443,5,
3468757,-43.64544,172.8392,2497049,5729285,2011,2,22,6,25,36.86493,3.491,5,
3468758,-43.58048,172.68742,2484775,5736468,2011,2,22,6,28,29.06089,4.579,5,
3468763,-43.55548,172.66324,2482811,5739238,2011,2,22,6,41,8.49299,2.89,5,
3468765,-43.62069,172.72484,2487812,5732011,2011,2,22,6,43,31.7673,4.755,12,
3468767,-43.56495,172.7076,2486399,5738200,2011,2,22,6,49,20.66688,3.522,9.9773,
3468769,-43.60275,172.71506,2487016,5734002,2011,2,22,6,54,44.00708,3.41,5,
3468773,-43.55185,172.78384,2492555,5739674,2011,2,22,7,6,34.7294,3.411,1.8331,
3468780,-43.75751,169.47919,2226564,5710853,2011,2,22,7,13,20.85216,2.796,5,
3468779,-43.64676,172.76103,2490742,5729123,2011,2,22,7,22,43.45977,3.443,5,
3468797,-43.59947,172.56044,2474530,5734313,2011,2,22,8,21,6.86423,4.835,6.8927,
3468804,-42.77512,177.32307,2863841,5817084,2011,2,22,8,35,31.41335,3.363,54.6535,
3468805,-43.59134,172.70552,2486241,5735267,2011,2,22,8,38,31.99053,4.056,6.9631,
3468818,-44.77714,167.31941,2060708,5588102,2011,2,22,9,13,57.8834,2.816,54.4505,
3468819,-43.60975,172.64268,2481175,5733202,2011,2,22,9,16,6.54279,3.964,5,
3468820,-43.59705,172.6736,2483666,5734623,2011,2,22,9,18,38.05492,3.961,5,
3468828,-43.57043,172.71034,2486622,5737592,2011,2,22,9,43,3.74839,3.532,5,
3468837,-43.58828,172.50792,2470281,5735532,2011,2,22,10,5,26.13769,3.993,8.9493,
3468849,-43.60144,172.7532,2490095,5734157,2011,2,22,10,36,34.9591,3.451,6.248,
3468851,-43.60666,172.73323,2488484,5733572,2011,2,22,10,42,40.80695,3.218,13.1394,
3468853,-43.59584,172.59338,2477187,5734729,2011,2,22,10,52,26.43487,3.645,5,
3468858,-43.56763,172.69572,2485440,5737899,2011,2,22,11,2,16.28747,4.446,5,
3468861,-43.57822,172.60805,2478363,5736693,2011,2,22,11,15,1.0423,3.693,5,
3468863,-43.65468,172.74728,2489635,5728240,2011,2,22,11,18,11.42707,4.26,5,
3468865,-40.39181,174.35217,2624801,6089791,2011,2,22,11,28,6.47207,2.287,16.0202,
3468866,-39.91584,176.73018,2828830,6136781,2011,2,22,11,32,43.49696,1.805,43.0133,
3469083,-43.59076,172.62411,2479666,5735305,2011,2,22,11,32,49.83964,3.497,4.8421,
3468871,-43.8624,173.0636,2515136,5705186,2011,2,22,11,43,42.61152,3.742,5,
3468873,-43.60469,172.69206,2485160,5733780,2011,2,22,11,49,20.95941,4.349,5,
3468875,-43.58062,172.64322,2481205,5736439,2011,2,22,11,57,45.09512,3.862,3.7437,
3468880,-43.56378,172.80092,2493938,5738352,2011,2,22,12,10,32.0013,3.313,12,
3468887,-43.57922,172.66087,2482630,5736600,2011,2,22,12,20,28.01315,,7.701,
3468883,-43.59306,172.70084,2485864,5735075,2011,2,22,12,21,23.49881,3.897,11.7426,
3468892,-43.59794,172.58621,2476610,5734493,2011,2,22,12,49,6.83736,3.343,5,
3468900,-43.62023,172.56381,2474814,5732007,2011,2,22,13,9,22.43147,3.251,5,
3468902,-43.58205,172.76265,2490852,5736314,2011,2,22,13,16,57.75371,3.288,11.8967,
3469127,-37.47787,179.43918,,,2011,2,22,13,17,31.93703,3.547,25.3586,
3468905,-43.62954,172.75665,2490383,5731036,2011,2,22,13,26,2.53158,3.856,6.6296,
3468910,-43.7205,172.48489,2468512,5720831,2011,2,22,13,37,33.94997,3.103,5,
3468912,-40.39408,174.355,2625037,6089536,2011,2,22,13,47,56.43001,2.767,16.2954,
3468914,-43.57254,172.5975,2477508,5737320,2011,2,22,13,53,45.03222,3.055,5,
3468918,-43.58012,172.7166,2487132,5736517,2011,2,22,14,4,39.03209,4.631,5,
3468921,-40.39952,174.3605,2625495,6088924,2011,2,22,14,9,57.38597,2.737,19.1985,
3468930,-43.57175,172.63928,2480882,5737423,2011,2,22,14,26,52.00112,3.623,7.1868,
3468931,-43.60548,172.67656,2483908,5733687,2011,2,22,14,30,14.48016,4.64,7.1895,
3468932,-43.6049,172.72122,2487514,5733765,2011,2,22,14,35,7.90171,3.956,10.8589,
3468933,-43.54708,172.77798,2492080,5740203,2011,2,22,14,37,42.96345,3.721,5,
3468934,-43.5961,172.79037,2493095,5734759,2011,2,22,14,41,23.99963,3.744,11.954,
3468936,-43.62063,172.60419,2478073,5731979,2011,2,22,14,47,58.76522,3.337,5,
3468939,-43.56018,172.61633,2479023,5738700,2011,2,22,14,53,15.97699,2.649,3.2164,
3468940,-43.53649,172.79462,2493422,5741383,2011,2,22,14,57,19.9413,3.484,4.1382,
3468941,-43.57,172.67999,2484170,5737630,2011,2,22,15,0,36.82543,3.553,5,
3468942,-43.57824,172.63177,2480279,5736699,2011,2,22,15,6,59.24777,3.619,10.3936,
3468944,-39.96795,176.70357,2826315,6131095,2011,2,22,15,11,30.63348,3.088,32.8761,
3468945,-43.50227,172.49567,2469235,5745082,2011,2,22,15,13,35.29659,3.123,5,
3468947,-43.56609,172.77191,2491595,5738089,2011,2,22,15,18,21.9624,3.71,9.3269,
3468953,-43.55897,172.64536,2481368,5738845,2011,2,22,15,38,9.69045,2.986,5.7922,
3468955,-43.58372,172.65742,2482353,5736099,2011,2,22,15,44,47.98399,3.993,9.985,
3468958,-43.5954,172.61526,2478954,5734786,2011,2,22,15,56,55.34543,3.384,5,
3468965,-39.93421,176.5834,2816208,6135259,2011,2,22,16,21,36.09021,2.289,26.6272,
3468970,-43.54946,172.76886,2491344,5739936,2011,2,22,16,30,5.50234,3.27,5,
3468980,-43.6036,172.72275,2487637,5733910,2011,2,22,17,0,20.26537,4.579,7.3408,
3468989,-37.82256,176.72211,2837815,6368973,2011,2,22,17,25,46.7683,2.184,1.1699,
3468990,-43.62357,172.56648,2475031,5731637,2011,2,22,17,29,2.80219,3.019,5,
3468995,-43.57974,172.60512,2478127,5736523,2011,2,22,17,46,24.25239,2.7,5,
3468998,-43.58909,172.67345,2483650,5735507,2011,2,22,17,53,12.51597,3.302,8.9237,
3469163,-43.58664,172.59029,2476933,5735750,2011,2,22,17,58,5.84369,3.011,5,
3469010,-43.6152,172.76373,2490950,5732631,2011,2,22,18,28,58.36008,3.374,12,
3469017,-43.57448,172.78804,2492901,5737160,2011,2,22,18,44,47.57377,3.68,5.612,
3469034,-43.59224,172.6788,2484084,5735159,2011,2,22,19,30,20.49125,4.201,5,
3469038,-43.57948,172.6456,2481397,5736566,2011,2,22,19,43,6.17188,3.645,9.2323,
3469061,-43.5555,172.66873,2483254,5739238,2011,2,22,20,52,48.77743,3.936,5,
3469067,-43.55253,172.77177,2491580,5739596,2011,2,22,21,10,14.73713,3.596,4.3697,
3469088,-43.5929,172.61951,2479296,5735066,2011,2,22,22,15,37.83681,3.668,3.3908,
3469095,-38.1329,176.32176,2801317,6335940,2011,2,22,22,35,3.33648,4.236,159.886,
3469104,-43.58187,172.54257,2473076,5736260,2011,2,22,22,59,24.23388,2.986,5,
3469112,-43.62201,172.65054,2481815,5731842,2011,2,22,23,24,49.70561,2.852,2.3482,
3469114,-43.58007,172.67126,2483470,5736509,2011,2,22,23,28,11.1014,3.117,3,
3469122,-43.55949,172.70396,2486103,5738805,2011,2,22,23,50,1.06171,3.136,12,
